catu,grav,sexe,trajet,Age,catr,circ,vosp,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col
Conducteur,4,0,Domicile – travail,24,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50.0,12,Aube,92,En_agglomeration,Intersection en X,Pluie légère,Deux véhicules par le coté
Conducteur,4,1,Domicile – ecole,12,Route departementale,Bidirectionnelle,Sans objet,Plat,En courbe à droite,Normale,Autres,Sur chaussée,50.0,10,Plein_jour,93,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,1,1,Promenade – loisirs,86,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,10,Plein_jour,91,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,4,0,Promenade – loisirs,85,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Carrefour aménagé,Sur chaussée,50.0,9,Plein_jour,78,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,4,1,Promenade – loisirs,33,Route nationale,A sens unique,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,70.0,12,Plein_jour,78,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,2,1,Promenade – loisirs,17,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur trottoire,50.0,7,Plein_jour,93,En_agglomeration,Autre intersection,Normale,Autre collision
Conducteur,1,1,Promenade – loisirs,47,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,7,Plein_jour,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Passager,1,0,Promenade – loisirs,7,Route departementale,Bidirectionnelle,Voie reservée,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,6,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Deux véhicules frontale
Conducteur,1,0,Promenade – loisirs,45,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,50.0,12,Plein_jour,91,En_agglomeration,Hors intersection,Temps éblouissant,Autre collision
Pieton,4,0,Domicile – ecole,15,Route nationale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Autres,Sur chaussée,90.0,12,Aube,91,Hors_agglomeration,Hors intersection,Normale,Sans collision
Conducteur,3,1,Promenade – loisirs,20,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Autres,50.0,12,Plein_jour,91,En_agglomeration,Giratoire,Pluie légère,Deux véhicules par le coté
Conducteur,3,1,Utilisation professionnelle,42,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur trottoire,50.0,12,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,3,1,Domicile – travail,42,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,110.0,12,Nuit sans eclairage public,95,Hors_agglomeration,Hors intersection,Normale,Trois véhicules et plus collisions multiples
Conducteur,4,0,Autre,40,Autoroute,A chaussées séparées,Sans objet,Pante,Partie Rectiligne,Normale,Aucun,Sur chaussée,70.0,12,Plein_jour,95,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,1,1,Promenade – loisirs,31,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,110.0,12,Nuit sans eclairage public,95,Hors_agglomeration,Hors intersection,Normale,Trois véhicules et plus collisions multiples
Pieton,3,0,Domicile – travail,54,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30.0,2,Plein_jour,93,En_agglomeration,Autre intersection,Normale,Deux véhicules frontale
Conducteur,1,1,Promenade – loisirs,77,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30.0,11,Plein_jour,75,En_agglomeration,Intersection en X,Temps couvert,Deux véhicules par le coté
Conducteur,4,1,Promenade – loisirs,17,Route nationale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,90.0,5,Plein_jour,78,Hors_agglomeration,Hors intersection,Pluie légère,Deux véhicules par l’arrière
Pieton,4,0,Domicile – ecole,15,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,11,Nuit avec eclairage public allum,95,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,3,1,Promenade – loisirs,35,Route departementale,Bidirectionnelle,Sans objet,Pante,Partie Rectiligne,Verglacée,Aucun,Autres,90.0,12,Plein_jour,77,Hors_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,4,0,Domicile – travail,62,autre,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,11,Nuit avec eclairage public allum,77,En_agglomeration,Hors intersection,Normale,Sans collision
Passager,4,0,Promenade – loisirs,20,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50.0,11,Plein_jour,78,En_agglomeration,Intersection en X,Temps couvert,Deux véhicules par le coté
Conducteur,1,1,Promenade – loisirs,38,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30.0,10,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,4,1,Autre,45,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,11,Aube,78,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,1,1,Promenade – loisirs,54,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30.0,10,Plein_jour,75,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,4,0,Courses – achats,22,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Sur chaussée,50.0,10,Nuit avec eclairage public allum,78,En_agglomeration,Intersection en T,Pluie légère,Deux véhicules par le coté
Passager,1,1,Utilisation professionnelle,25,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Sur chaussée,50.0,10,Nuit avec eclairage public allum,78,En_agglomeration,Hors intersection,Pluie forte,Autre collision
Conducteur,3,0,Promenade – loisirs,10,Route departementale,Bidirectionnelle,Sans objet,Plat,En courbe à droite,Normale,Autres,Sur chaussée,30.0,10,Plein_jour,78,En_agglomeration,Autre intersection,Normale,Autre collision
Passager,3,0,Promenade – loisirs,10,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,10,Plein_jour,78,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,4,1,Promenade – loisirs,61,Voie comunales,Bidirectionnelle,Sans objet,Pante,En courbe à droite,Normale,Aucun,Sur chaussée,50.0,10,Plein_jour,78,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,3,0,Promenade – loisirs,51,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Carrefour aménagé,Sur chaussée,50.0,1,Plein_jour,93,En_agglomeration,Intersection en X,Normale,Autre collision
Conducteur,1,1,Promenade – loisirs,29,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,11,Nuit avec eclairage public allum,91,En_agglomeration,Hors intersection,Brouillard_fumée,Autre collision
Conducteur,1,1,Autre,27,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,11,Aube,91,En_agglomeration,Intersection en T,Brouillard_fumée,Deux véhicules frontale
Passager,4,1,Promenade – loisirs,17,Route departementale,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,70.0,12,Plein_jour,78,Hors_agglomeration,Giratoire,Normale,Deux véhicules par le coté
Conducteur,1,1,Promenade – loisirs,22,Route departementale,Avec voies d’affectation variable,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,70.0,12,Aube,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,1,0,Promenade – loisirs,22,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,80.0,12,Nuit sans eclairage public,77,Hors_agglomeration,Hors intersection,Pluie légère,Deux véhicules frontale
Pieton,3,0,Domicile – ecole,12,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur trottoire,50.0,8,Aube,92,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,1,1,Utilisation professionnelle,29,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,12,Nuit avec eclairage public eteint,75,En_agglomeration,Intersection en X,Normale,Autre collision
Conducteur,3,1,Domicile – travail,53,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,50.0,12,Nuit avec eclairage public allum,77,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,1,1,Utilisation professionnelle,64,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,12,Plein_jour,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,1,1,Promenade – loisirs,51,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,12,Plein_jour,91,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,1,0,Domicile – ecole,18,Autoroute,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,110.0,12,Aube,91,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,4,0,Promenade – loisirs,69,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Chantier,Sur chaussée,30.0,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Normale,Deux véhicules par le coté
Conducteur,1,1,Autre,42,Autoroute,A sens unique,Sans objet,Pante,En courbe à droite,Normale,Aucun,Sur chaussée,70.0,12,Nuit sans eclairage public,78,Hors_agglomeration,Autre intersection,Normale,Autre collision
Passager,1,1,Domicile – travail,52,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90.0,12,Nuit avec eclairage public allum,93,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,1,1,Utilisation professionnelle,29,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90.0,12,Nuit sans eclairage public,93,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Passager,1,1,Utilisation professionnelle,22,Autoroute,A chaussées séparées,Sans objet,Plat,En Courbe à gauche,Normale,Aucun,Sur chaussée,90.0,12,Nuit sans eclairage public,93,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Conducteur,4,1,Utilisation professionnelle,38,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50.0,12,Plein_jour,78,En_agglomeration,Autre intersection,Normale,Trois véhicules et plus en chaîne
Conducteur,1,0,Promenade – loisirs,46,Route departementale,Bidirectionnelle,Sans objet,Plat,En Courbe à gauche,Mouillée,Aucun,Sur chaussée,30.0,12,Nuit avec eclairage public allum,78,En_agglomeration,Place,Normale,Autre collision
Conducteur,1,0,Promenade – loisirs,20,Autoroute,Avec voies d’affectation variable,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90.0,12,Plein_jour,93,Hors_agglomeration,Hors intersection,Temps couvert,Deux véhicules par le coté
