catu,grav,sexe,trajet,Age,catr,circ,vosp,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col
Conducteur,Blessé_leger,0,Domicile – travail,24,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,12,Aube,92,En_agglomeration,Intersection en X,Pluie légère,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Autre,12,Route departementale,Bidirectionnelle,Sans objet,Plat,En courbe à droite,Normale,Autres,Sur chaussée,50,10,Plein_jour,93,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Indemne,1,Promenade – loisirs,86,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,10,Plein_jour,91,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,Blessé_leger,0,Promenade – loisirs,85,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Carrefour aménagé,Sur chaussée,50,9,Plein_jour,78,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Promenade – loisirs,33,Route nationale,A sens unique,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,70,12,Plein_jour,78,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,Deceder,1,Promenade – loisirs,17,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur trottoire,50,7,Plein_jour,93,En_agglomeration,Autre intersection,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,47,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,7,Plein_jour,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Passager,Indemne,0,Promenade – loisirs,7,Route departementale,Bidirectionnelle,Piste cyclable,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,6,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Deux véhicules frontale
Conducteur,Indemne,0,Promenade – loisirs,45,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,50,12,Plein_jour,91,En_agglomeration,Hors intersection,Temps éblouissant,Autre collision
Pieton,Blessé_leger,0,Autre,15,Route nationale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Autres,Sur chaussée,90,12,Aube,91,Hors_agglomeration,Hors intersection,Normale,Sans collision
Conducteur,Blessé_hospitalisé,1,Promenade – loisirs,20,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Sur accotement,50,12,Plein_jour,91,En_agglomeration,Autre intersection,Pluie légère,Deux véhicules par le coté
Conducteur,Blessé_hospitalisé,1,Utilisation professionnelle,42,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur trottoire,50,12,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_hospitalisé,1,Domicile – travail,42,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,110,12,Nuit sans eclairage public,95,Hors_agglomeration,Hors intersection,Normale,Trois véhicules et plus collisions multiples
Conducteur,Blessé_leger,0,Autre,40,Autoroute,A chaussées séparées,Sans objet,Pante,Partie Rectiligne,Normale,Aucun,Sur chaussée,70,12,Plein_jour,95,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Indemne,1,Promenade – loisirs,31,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,110,12,Nuit sans eclairage public,95,Hors_agglomeration,Hors intersection,Normale,Trois véhicules et plus collisions multiples
Pieton,Blessé_hospitalisé,0,Domicile – travail,54,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,2,Plein_jour,93,En_agglomeration,Autre intersection,Normale,Deux véhicules frontale
Conducteur,Indemne,1,Promenade – loisirs,77,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,11,Plein_jour,75,En_agglomeration,Intersection en X,Temps couvert,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Promenade – loisirs,17,Route nationale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,90,5,Plein_jour,78,Hors_agglomeration,Hors intersection,Pluie légère,Deux véhicules par l’arrière
Pieton,Blessé_leger,0,Autre,15,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,11,Nuit avec eclairage public allum,95,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Blessé_hospitalisé,1,Promenade – loisirs,35,Route departementale,Bidirectionnelle,Sans objet,Pante,Partie Rectiligne,Mouillée,Aucun,Sur accotement,90,12,Plein_jour,77,Hors_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_leger,0,Domicile – travail,62,Route nationale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,11,Nuit avec eclairage public allum,77,En_agglomeration,Hors intersection,Normale,Sans collision
Passager,Blessé_leger,0,Promenade – loisirs,20,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,11,Plein_jour,78,En_agglomeration,Intersection en X,Temps couvert,Deux véhicules par le coté
Conducteur,Indemne,1,Promenade – loisirs,38,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,10,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Blessé_leger,1,Autre,45,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,11,Aube,78,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,54,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,10,Plein_jour,75,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Blessé_leger,0,Autre,22,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Sur chaussée,50,10,Nuit avec eclairage public allum,78,En_agglomeration,Intersection en T,Pluie légère,Deux véhicules par le coté
Passager,Indemne,1,Utilisation professionnelle,25,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Sur chaussée,50,10,Nuit avec eclairage public allum,78,En_agglomeration,Hors intersection,Temps éblouissant,Autre collision
